order_id,customer_name,amount,order_date,status
1,A,1000,2026-04-01,completed
2,B,2000,01-04-2026,Completed
3,C,NULL,2026/04/02,pending
4,D,3000,2026-04-03,COMPLETED
5,E,,invalid_date,cancelled
 order_id,customer_name,amount,order_date,status
1,A,1000,2026-04-01,completed
2,B,2000,01-04-2026,Completed
3,C,NULL,2026/04/02,pending
4,D,3000,2026-04-03,COMPLETED
5,E,,invalid_date,cancelled
6,F,4500,2026-04-04,completed
7,G,1200,2026-04-04,pending
8,H,999,2026-04-05,completed
9,I,1500,2026-04-05,CANCELLED
10,J,2200,2026-04-06,Completed
11,K,1800,2026-04-06,pending
12,L,2500,2026-04-07,completed
13,M,300,2026-04-07,completed
14,N,not_available,2026-04-07,pending
15,O,2750,2026-04-08,Completed
16,P,3200,2026-04-08,completed
17,Q,4100,2026-04-08,COMPLETED
18,R,0,2026-04-08,pending
19,S,850,2026-04-09,completed
20,T,1350,2026-04-09,Completed
21,U,2200,2026-04-09,completed
22,V,invalid,2026-04-09,cancelled
23,W,5000,2026-04-10,completed
24,X,1750,2026-04-10,pending
25,Y,2600,2026-04-10,Completed
26,Z,3100,2026-04-10,completed
27,A1,1450,2026-04-11,completed
28,B1,900,2026-04-11,pending
29,C1,1100,2026-04-11,Completed
30,D1,,2026-04-11,completed
31,E1,700,2026-04-11,cancelled
32,F1,2800,2026-04-12,completed
33,G1,3600,2026-04-12,COMPLETED
34,H1,150,2026-04-12,pending
35,I1,800,2026-04-12,Completed
36,J1,2000,2026-04-13,completed
37,K1,2400,2026-04-13,completed
38,L1,3300,2026-04-13,pending
39,M1,4100,2026-04-13,Completed
40,N1,9999,2026-04-14,completed
